state,names
CD8_act,TNFRSF18
CD8_act,RAB27A
CD8_act,BZW1
CD8_act,DUSP5
CD8_act,RUNX3
CD8_act,PHLDA1
CD8_act,IL2RA
CD8_act,RNF213
CD8_act,XCL1
CD8_act,MYDGF
CD8_act,POMP
CD8_act,COX17
CD8_act,TYMP
CD8_act,YBX3
CD8_act,RBM8A
CD8_act,PARK7
CD8_act,MANF
CD8_act,DBI
CD8_act,GSTP1
CD8_act,SLC7A5
CD8_act,VIMP
CD8_act,TNFRSF9
CD8_act,PRDM1
CD8_act,EEF1A1P5
CD8_act,BHLHE40
CD8_act,SNRPG
CD8_act,MTHFD2
CD8_act,FAM3C
CD8_act,CTSW
CD8_act,NME1
CD8_act,SYTL3
CD8_act,SURF4
CD8_act,HCST
CD8_act,TPI1
CD8_act,SLC1A5
CD8_act,JUNB
CD8_act,FLOT1
CD8_act,IL2RB
CD8_act,WARS
CD8_act,CFLAR
CD8_act,ATP1B3
CD8_act,TANK
CD8_act,CTSC
CD8_act,ARF6
CD8_act,FABP5
CD8_act,NAMPT
CD8_act,PSME2
CD8_act,C4orf48
CD8_act,ANXA2
CD8_act,PTPN7
CD8_act,COX7B
CD8_act,GUK1
CD8_act,LYST
CD8_act,PRELID1
CD8_act,GPR171
CD8_act,HSPE1
CD8_act,SUB1
CD8_act,PTGER2
CD8_act,SELK
CD8_act,CDK2AP2
CD8_act,TMED9
CD8_act,ROMO1
CD8_act,PDIA6
CD8_act,SNRPB
CD8_act,MYO1G
CD8_act,TMED2
CD8_act,P4HB
CD8_act,ATP6V0B
CD8_act,PSMA7
CD8_act,HERPUD1
CD8_act,NDUFB2
CD8_act,HSPA5
CD8_act,LRRFIP1
CD8_act,HIF1A
CD8_act,PSMB6
CD8_act,GNG5
CD8_act,PPP1R14B
CD8_act,SEC11C
CD8_act,DDX21
CD8_act,MYL6
CD8_act,APOBEC3C
CD8_act,CREM
CD8_act,TIGIT
CD8_act,SELT
CD8_act,CISD3
CD8_act,TNIP2
CD8_act,RELB
CD8_act,RPS26
CD8_act,POLR2K
CD8_act,CALR
CD8_act,YWHAQ
CD8_act,SRM
CD8_act,STOM
CD8_act,NOP10
CD8_act,MSN
CD8_act,PSMB3
CD8_act,UQCRQ
CD8_act,GNG2
CD8_act,IRF4
CD8_act,TXNDC17
CD8_act,PRDX1
CD8_act,UBB
CD8_act,FAM96B
CD8_act,RBPJ
