source_TF,target_gene,log2FC,culture_condition,evidence
E2F5,IL5,0.5548280619974171,Rest,kNN_predicted
E2F5,KIF26A,0.5247623528256299,Rest,kNN_predicted
E2F5,ZNF347,0.5323219007235311,Rest,kNN_predicted
E2F5,ZNF844,0.6259874984207816,Rest,kNN_predicted
E2F5,ZSCAN18,0.6775988328906148,Rest,kNN_predicted
EBF3,GNLY,-0.575588199499251,Rest,kNN_predicted
EBF3,IFIT2,0.5084099148466076,Rest,kNN_predicted
EGR1,LHFPL6,0.5024193741791204,Rest,kNN_predicted
EGR1,PMCH,0.5033277993742847,Rest,kNN_predicted
EGR1,SPP1,0.6381449010933272,Rest,kNN_predicted
EGR4,IL22,0.5265797294782196,Rest,kNN_predicted
ELF2,CCL1,1.2606571482619382,Rest,kNN_predicted
ELF2,CD200,0.6436951635836105,Rest,kNN_predicted
ELF2,COL6A2,0.519632795011824,Rest,kNN_predicted
ELF2,CRTAM,1.4153247516041494,Rest,kNN_predicted
ELF2,EGR2,0.8531737369012741,Rest,kNN_predicted
ELF2,GNG4,0.8861367976840826,Rest,kNN_predicted
ELF2,HMOX1,0.7344096314285573,Rest,kNN_predicted
ELF2,PLAAT3,0.5113350086701889,Rest,kNN_predicted
ELF2,POU2AF1,0.5655000596893031,Rest,kNN_predicted
ELF2,SLC43A2,0.5217854386458802,Rest,kNN_predicted
ELF2,TNFRSF9,0.6636961137558778,Rest,kNN_predicted
ELF2,TNIP3,0.553327873052068,Rest,kNN_predicted
ELF5,CCL1,0.6316926286766714,Rest,kNN_predicted
ELF5,CRTAM,0.886163584906328,Rest,kNN_predicted
ELF5,HMOX1,0.5115570184114344,Rest,kNN_predicted
EN2,MT1G,0.5650499788470348,Rest,kNN_predicted
EN2,MT1H,0.7412064218525279,Rest,kNN_predicted
EN2,RTKN2,-0.603305858977841,Rest,kNN_predicted
EOMES,RTKN2,-0.5735841161623191,Rest,kNN_predicted
ERG,KLRB1,0.532069010799745,Rest,kNN_predicted
ESR1,IFNG,0.5286967258993186,Rest,kNN_predicted
ESR1,IL3,0.7458163988201286,Rest,kNN_predicted
ESRRG,ADAMTS10,-0.5216067393600554,Rest,kNN_predicted
ESRRG,CCL1,0.7210444437139824,Rest,kNN_predicted
ESRRG,CFH,0.560166434476521,Rest,kNN_predicted
ESRRG,IL26,0.5083644897359845,Rest,kNN_predicted
ESRRG,LTK,0.518771094466491,Rest,kNN_predicted
ESX1,IFNG,0.5352116870170303,Rest,kNN_predicted
ESX1,NR4A1,0.5616055309013888,Rest,kNN_predicted
ETV1,IL22,0.5304452074078733,Rest,kNN_predicted
ETV1,STON1,0.5255764448886685,Rest,kNN_predicted
ETV3L,L1CAM,0.5062916499406795,Rest,kNN_predicted
ETV3L,SLC35G2,0.5383772078223056,Rest,kNN_predicted
ETV3L,SYP,0.5193511355729,Rest,kNN_predicted
ETV4,CCL3,0.5253753739068379,Rest,kNN_predicted
ETV4,CD200,0.5139777531358862,Rest,kNN_predicted
