candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
EGR4,1,ZNF527,0.2838241949619549,0.7161758050380451
EGR4,2,ADNP2,0.28815919622295205,0.711840803777048
EGR4,3,ZNF221,0.2927574146777384,0.7072425853222616
EGR4,4,ZNF652,0.2973808036102731,0.7026191963897269
EGR4,5,ZNF623,0.315588182225912,0.684411817774088
EGR4,6,ZSCAN22,0.33440039893708906,0.6655996010629109
EGR4,7,ZNF394,0.33627770625922127,0.6637222937407787
EGR4,8,ZNF664,0.36419632043493977,0.6358036795650602
EGR4,9,ZNF692,0.3740975396673457,0.6259024603326543
EGR4,10,NFAT5,0.3755345100525048,0.6244654899474952
ELF2,1,ZNF646,0.3078648860944143,0.6921351139055857
ELF2,2,ZNF304,0.31434841397335067,0.6856515860266493
ELF2,3,ZNF7,0.3209496832475507,0.6790503167524493
ELF2,4,ZNF786,0.32345589958947685,0.6765441004105232
ELF2,5,ZXDC,0.32740125024338296,0.672598749756617
ELF2,6,ZSCAN22,0.3291903139776863,0.6708096860223137
ELF2,7,ZNF626,0.3306619675330519,0.6693380324669481
ELF2,8,ZNF394,0.33338641399170377,0.6666135860082962
ELF2,9,PHF21A,0.33843288519369874,0.6615671148063013
ELF2,10,REPIN1,0.34128751034690896,0.658712489653091
ELK1,1,ZNF35,0.2490112057976288,0.7509887942023712
ELK1,2,STAT3,0.25928023959519764,0.7407197604048024
ELK1,3,NR4A1,0.2823825078551423,0.7176174921448577
ELK1,4,NFE2L1,0.28285529618129346,0.7171447038187065
ELK1,5,MAFG,0.28502490491234855,0.7149750950876514
ELK1,6,SETDB1,0.28745682505883974,0.7125431749411603
ELK1,7,TFAP4,0.29437099651952126,0.7056290034804787
ELK1,8,CAMTA1,0.3097564952685974,0.6902435047314026
ELK1,9,ZNF776,0.3204311981634457,0.6795688018365543
ELK1,10,ZNF398,0.3262024731369657,0.6737975268630343
ELK3,1,ZNF345,0.35938267467197793,0.6406173253280221
ELK3,2,AHDC1,0.39510122608236153,0.6048987739176385
ELK3,3,ZNF682,0.4189042336587421,0.5810957663412579
ELK3,4,MSANTD4,0.42160007872746175,0.5783999212725383
ELK3,5,ZNF658,0.4505351314843786,0.5494648685156214
ELK3,6,ZNF146,0.4527040954911651,0.5472959045088349
ELK3,7,RFX7,0.4564608091490594,0.5435391908509406
ELK3,8,NR2C2,0.4840791195148695,0.5159208804851305
ELK3,9,ZNF436,0.48748482543958804,0.512515174560412
ELK3,10,ARID2,0.5109925375048177,0.48900746249518234
EOMES,1,ZSCAN26,0.32139688857891713,0.6786031114210829
EOMES,2,ZBTB22,0.3241199485336007,0.6758800514663993
EOMES,3,RLF,0.34282355433652667,0.6571764456634733
EOMES,4,FLI1,0.41044347848363616,0.5895565215163638
EOMES,5,PHF1,0.41528148571672463,0.5847185142832754
EOMES,6,ZNF736,0.41871333371925645,0.5812866662807435
EOMES,7,CC2D1A,0.42441027279992216,0.5755897272000778
EOMES,8,ZNF718,0.4376977880164007,0.5623022119835993
EOMES,9,ZNF792,0.46875971201848954,0.5312402879815105
EOMES,10,VEZF1,0.4716824893832663,0.5283175106167337
ESR2,1,ZNF282,0.320940347750858,0.679059652249142
ESR2,2,ETV3,0.3882760981992228,0.6117239018007772
ESR2,3,NR2C2,0.3942956917243554,0.6057043082756446
ESR2,4,TMF1,0.4062071741489023,0.5937928258510977
ESR2,5,ZNF672,0.4554192993425259,0.5445807006574741
ESR2,6,GPBP1,0.4973192778857628,0.5026807221142372
ESR2,7,ZNF264,0.5040692620400447,0.49593073795995535
ESR2,8,ZBTB7A,0.5042981998715963,0.4957018001284037
ESR2,9,ZNF213,0.5334207136396225,0.4665792863603775
ESR2,10,ZBTB40,0.5391873805077475,0.4608126194922525
ESRRA,1,ZSCAN21,0.2561488055784038,0.7438511944215962
ESRRA,2,ZNF626,0.2696383105566801,0.7303616894433199
ESRRA,3,ZBTB9,0.29471546022006845,0.7052845397799316
ESRRA,4,RXRB,0.3022086269990475,0.6977913730009525
ESRRA,5,ZNF653,0.3079504268078498,0.6920495731921502
ESRRA,6,NACC2,0.32438839090499316,0.6756116090950068
ESRRA,7,ZNF7,0.3258068028365396,0.6741931971634604
ESRRA,8,ZNF592,0.34634602186718955,0.6536539781328105
ESRRA,9,SRF,0.3687770422302157,0.6312229577697843
ESRRA,10,NFAT5,0.3729563936012519,0.6270436063987481
ETS1,1,MYC,0.3778415041681844,0.6221584958318156
ETS1,2,HOXB4,0.3878223723763784,0.6121776276236216
ETS1,3,ZNF649,0.39116757664310586,0.6088324233568941
ETS1,4,ZNF76,0.43790849060412973,0.5620915093958703
ETS1,5,ZBED1,0.45544290583175284,0.5445570941682472
