source_TF,target_gene,log2FC,culture_condition,evidence
DLX5,L1CAM,0.5142985625998546,Stim8hr,kNN_predicted
DLX5,SYP,0.5025170196204084,Stim8hr,kNN_predicted
DLX6,IL6,0.541935591596909,Stim8hr,kNN_predicted
DMBX1,PLK1,-0.6052298851215152,Stim8hr,kNN_predicted
DMRT3,GNLY,-0.5471763470450248,Stim8hr,kNN_predicted
DMRT3,RORC,0.5187701355635663,Stim8hr,kNN_predicted
DMRT3,SH3RF2,0.5687690597515007,Stim8hr,kNN_predicted
DMRTA2,IL5,-0.6532351060958017,Stim8hr,kNN_predicted
DMRTC2,COL6A2,0.5170273204012509,Stim8hr,kNN_predicted
DNMT1,IL22,-0.548352937638077,Stim8hr,kNN_predicted
DNMT1,IL6,0.5594466264388287,Stim8hr,kNN_predicted
DPF1,CD8A,0.5725534288083782,Stim8hr,kNN_predicted
DPF3,IL5,-0.7260679607128008,Stim8hr,kNN_predicted
DPF3,ZSCAN18,0.5522154131204567,Stim8hr,kNN_predicted
DRAP1,PLK2,0.506529201106084,Stim8hr,kNN_predicted
DRGX,SYCE3,0.5672957026278634,Stim8hr,kNN_predicted
DUX1,IL10,-0.5364976638421075,Stim8hr,kNN_predicted
DUX4,CD93,0.5219747413329072,Stim8hr,kNN_predicted
DUX4,FCER1G,0.5141368755827468,Stim8hr,kNN_predicted
DUX4,FCGBP,0.5243802814600853,Stim8hr,kNN_predicted
DUX4,GNLY,0.6099790247792102,Stim8hr,kNN_predicted
DUX4,ODAPH,0.5549451339917054,Stim8hr,kNN_predicted
DUX4,TEX29,0.613954046592679,Stim8hr,kNN_predicted
E2F2,CD93,0.5339582611908296,Stim8hr,kNN_predicted
E2F2,FCER1G,0.5259404533622059,Stim8hr,kNN_predicted
E2F2,FCGBP,0.5364190278176836,Stim8hr,kNN_predicted
E2F2,ODAPH,0.5676855896242234,Stim8hr,kNN_predicted
E2F2,TEX29,0.6280492315252058,Stim8hr,kNN_predicted
E2F4,IL6,0.5117450305843585,Stim8hr,kNN_predicted
E4F1,IL22,-0.5479898220685618,Stim8hr,kNN_predicted
EBF1,CD8A,0.5302633414038436,Stim8hr,kNN_predicted
EBF3,CCL4,-0.5266792324758155,Stim8hr,kNN_predicted
EBF3,IL22,-0.5639428518767997,Stim8hr,kNN_predicted
EBF4,CNN3,0.5129917532424262,Stim8hr,kNN_predicted
EGR4,IL5,-0.6426056510992059,Stim8hr,kNN_predicted
EGR4,IL6,0.5233000120155444,Stim8hr,kNN_predicted
ELF2,IL22,-0.9239205168183514,Stim8hr,kNN_predicted
ELF2,RORC,0.5177735364107191,Stim8hr,kNN_predicted
ELF5,SYCE3,0.5641749290763838,Stim8hr,kNN_predicted
ELK1,MGLL,0.5818542005237274,Stim8hr,kNN_predicted
EMX1,IL5,-1.0537416190179485,Stim8hr,kNN_predicted
EN1,CLCF1,0.5327667415980417,Stim8hr,kNN_predicted
EN1,CXXC5,0.5297645670902889,Stim8hr,kNN_predicted
EN1,HMOX1,0.5641726424101284,Stim8hr,kNN_predicted
EN2,IL13,-0.5485690619882617,Stim8hr,kNN_predicted
EOMES,IL13,-1.0290375675569752,Stim8hr,kNN_predicted
EOMES,IL5,-0.5176134580696754,Stim8hr,kNN_predicted
ERF,CCL4,-0.5109108805683906,Stim8hr,kNN_predicted
ERG,IL5,0.513730461032391,Stim8hr,kNN_predicted
ESR1,MAP2K6,0.563163223340532,Stim8hr,kNN_predicted
ESR2,HMOX1,0.5276998997814751,Stim8hr,kNN_predicted
ESR2,MGLL,0.5659141438138543,Stim8hr,kNN_predicted
ESRRG,CD8A,0.5701410019103327,Stim8hr,kNN_predicted
ESRRG,UCHL1,0.5294007651825768,Stim8hr,kNN_predicted
ESX1,CCR6,0.5196316948442607,Stim8hr,kNN_predicted
ESX1,LTK,0.5366422874404027,Stim8hr,kNN_predicted
ESX1,PTPN13,0.5501726987697588,Stim8hr,kNN_predicted
ETS1,IL6,0.5205287718406623,Stim8hr,kNN_predicted
