tf,target,importance
ATF4,PCBP1,0.0492176539055452
ATF4,PCK2,0.7764909123084303
ATF4,PCYT1A,0.1187720631970445
ATF4,PDCD6,0.0240943893814288
ATF4,PDE4DIP,0.2046191993040803
ATF4,PDE6D,0.1566218424009696
ATF4,PELI1,0.1142648274487864
ATF4,PELO,0.2589539907361339
ATF4,PET100,0.0616821896912918
ATF4,PFN1,0.3199811805863867
ATF4,PGC,0.9725884917581512
ATF4,PHF23,0.2895774204000352
ATF4,PHF5A,0.0931842423105932
ATF4,PHLDA3,1.2554042940466583
ATF4,PIGV,0.0945378136314962
ATF4,PIH1D1,0.0347531190228729
ATF4,PIK3C3,0.1274308719026824
ATF4,PIK3CD-AS2,0.1652115474026737
ATF4,PIK3CG,0.145576726588964
ATF4,PIK3R1,0.1093620534947873
ATF4,PIP5K1B,0.0705364633710294
ATF4,PLAA,0.5074124298097995
ATF4,PLSCR4,0.6310429869988938
ATF4,PMAIP1,1.6486258745298623
ATF4,POLDIP2,0.0222002683014418
ATF4,POLDIP3,0.1419363149248181
ATF4,POLL,0.2328625982966379
ATF4,POLM,0.084094149763021
ATF4,POLR2J2,0.1530983966364768
ATF4,POLR2K,0.12023516460561
ATF4,POMP,0.0145185415270551
ATF4,POU2F2,0.1045092732692678
ATF4,PPCDC,0.9577233969410588
ATF4,PPIA,0.0158701717902478
ATF4,PPIG,0.1448197866667199
ATF4,PPIL1,0.0989768039933279
ATF4,PPIL3,0.078757636627809
ATF4,PPM1G,0.0401053396602637
ATF4,PPP1R10,0.2582189627015312
ATF4,PPP1R11,0.0534959328113784
ATF4,PPP1R12C,0.1612359120390966
ATF4,PPP1R15A,0.6650900837423358
ATF4,PPP1R36,0.8378056570759432
ATF4,PPP3R1,0.0653512462233368
ATF4,PPTC7,0.5749805538109469
ATF4,PREPL,0.4564038959460512
ATF4,PRKAB1,0.1491246382380621
ATF4,PRKCA,0.4790951280441263
ATF4,PRPF38A,0.119917808532672
ATF4,PRPF4B,0.0566974888222507
ATF4,PRPSAP2,0.1042381499894642
ATF4,PRRC2C,0.4024803881410623
ATF4,PSMB4,0.1705078826136517
ATF4,PSMB7,0.0132767182553088
ATF4,PSMC4,0.0681789387740363
ATF4,PSMD12,0.0329092815587194
ATF4,PSMD8,0.301827205975786
ATF4,PTBP1,0.0144762142439175
ATF4,PTEN,0.5584856007820491
ATF4,PTP4A2,0.0182755377953806
ATF4,PTPRF,0.1947583512579578
ATF4,PYROXD1,0.1120052271825524
ATF4,QSOX2,0.6530125027419376
ATF4,RAB11A,0.0278010565463765
ATF4,RAB13,0.4065118871614688
ATF4,RAB21,0.0685854370107081
ATF4,RAB33A,0.4217301743379291
ATF4,RAB8A,0.0637221206944561
ATF4,RABL3,1.056671695075961
ATF4,RAC2,0.04201998632116
ATF4,RAD51AP1,0.5511866993749525
ATF4,RALA,0.3036013523901558
ATF4,RARG,0.1129147614024368
ATF4,RB1CC1,0.1921279548832382
ATF4,RBM12,0.4582559644588118
ATF4,RBM22,0.310132680559515
ATF4,RBM3,0.0177098072739732
ATF4,RBM39,0.0175645527087219
ATF4,REL,0.1491421339271736
ATF4,REST,0.058266127396115
ATF4,REV3L,0.5001468385470728
ATF4,RFC1,0.5957797499898672
ATF4,RFFL,0.4521006911962439
ATF4,RFXANK,0.1203975489197873
ATF4,RGS19,0.0403035596563487
ATF4,RHOH,0.0290398783367102
ATF4,RNASEH1,0.0425695557854394
ATF4,RNASEH2C,0.2805731945463476
ATF4,RNF144A,0.1205128555683953
ATF4,RNF146,1.0788913829716893
ATF4,RNF167,0.1286982839224354
ATF4,RNF185,0.3011607016529165
ATF4,RNF40,0.2044277111172204
ATF4,RNVU1-4,1.5878570558639764
ATF4,ROMO1,0.0265119941840766
ATF4,RPL6,0.1572455643195757
ATF4,RPN1,0.0214105744921672
ATF4,RPS27L,0.4887942394345388
ATF4,RPS6KA2,0.8511489508499823
ATF4,RSL1D1,0.0139357785785548
ATF4,RSL24D1,0.5360693109220439
ATF4,RSU1,0.0646429276147518
ATF4,RTN4,0.0635222500502858
ATF4,RUNX2,0.7162602511759851
ATF4,SAMSN1,0.9725911489051812
ATF4,SASS6,0.0667222965968057
ATF4,SCAF1,0.394326197165441
ATF4,SDAD1,0.0538807706381899
ATF4,SDF2,0.0745262558604315
ATF4,SDK2,1.056083176867746
ATF4,SEC14L1,0.49646067958202
ATF4,SEC22B,0.1016467254505268
ATF4,SEL1L3,0.2600501312992449
ATF4,SERINC1,0.1070001260175479
ATF4,SESN2,1.4173525699983944
ATF4,SET,0.109265569668441
ATF4,SETD5,0.4875437836095163
ATF4,SF3A3,0.0414674863877976
ATF4,SF3B4,0.0323743490934799
ATF4,SF3B6,0.1485510717571128
ATF4,SGPP1,0.5722077730067721
ATF4,SH2B3,0.4621190218352893
ATF4,SH3BP2,0.1097212315580012
ATF4,SIAH1,0.3296959542639618
ATF4,SIRT1,0.7946787663857175
ATF4,SIRT6,0.1064958362507325
ATF4,SLC1A5,2.029930138143869
ATF4,SLC25A11,0.0296112508269023
ATF4,SLC25A13,1.1555856260670687
ATF4,SLC25A14,0.2234584009173787
ATF4,SLC28A3,0.7176538101515721
ATF4,SLC34A2,0.0969254783173731
ATF4,SLC35A2,0.1900283772138915
ATF4,SLC38A1,0.2895300945737915
ATF4,SLC38A2,2.1408522889473085
ATF4,SLC39A9,0.1653614054858344
ATF4,SLC4A8,0.1446330608912477
ATF4,SLC50A1,0.037461247529117
ATF4,SLC6A9,0.6040461927867702
ATF4,SLC7A1,0.5964534765486431
ATF4,SLC7A5,0.6953004677619428
ATF4,SLCO4A1,0.1341481269988113
ATF4,SMC1A,0.6379944617911993
ATF4,SMG1P3,0.6021737125571914
ATF4,SMIM19,0.3863160481559435
ATF4,SMU1,0.0691059799335897
ATF4,SNF8,0.0175105332671263
ATF4,SNHG16,0.0131643370623029
ATF4,SNHG6,0.1363162056699699
