tf,target,importance
ATF1,IGSF3,0.9345137302369364
ATF1,IKZF4,0.1598138687984075
ATF1,IL1R1,0.2196932334976379
ATF1,ILF3,0.010973832729093
ATF1,ITFG2,0.0920380910586041
ATF1,KCNH3,0.8595662737810492
ATF1,KCTD15,6.825225264857221e-08
ATF1,KIAA0922,0.1214688590671789
ATF1,KIF21B,0.2970597666726448
ATF1,KLF16,0.2762724021679673
ATF1,KRBOX4,1.401940078637595
ATF1,LGALS8,0.4225257449928131
ATF1,LINC00094,0.2940663639780208
ATF1,LINC00936,0.1695162218816473
ATF1,MBD3,0.1679010772185325
ATF1,MGAT4A,0.1185823086495143
ATF1,MMADHC,0.0226514115218809
ATF1,MORC2,0.0775339893009342
ATF1,MORN1,0.0608268597834381
ATF1,MRRF,0.0410877714956502
ATF1,MTHFSD,0.2220716379808545
ATF1,NFKBID,0.0498660684274234
ATF1,NPEPPS,0.443014285783446
ATF1,OSM,2.269574479033276
ATF1,PARP4,0.1526500005958707
ATF1,PI4KAP1,0.7725686410205944
ATF1,PI4KB,0.0904709191166439
ATF1,PINK1,1.1297349426326577e-06
ATF1,PLCE1,0.1102233942406335
ATF1,PLEKHA4,0.3911997448721758
ATF1,PRR3,0.0811729906184581
ATF1,PSIP1,0.0204966335600585
ATF1,PTGDS,0.3054260491790757
ATF1,PXDC1,1.912713684670774
ATF1,QKI,0.2046978144715797
ATF1,RAI1,1.6126166392653627
ATF1,RAI2,0.0111142130330783
ATF1,RGCC,0.0870632711006664
ATF1,RNASEK,0.3403353604944665
ATF1,RNF144B,0.1558611414987154
ATF1,RRAS,0.0420521686151376
ATF1,RUNX1,0.9954158939694152
ATF1,SBDSP1,0.2430766405421094
ATF1,SCML1,0.65276200477166
ATF1,SCRIB,0.1566105219145837
ATF1,SDHAP1,0.1880485309000523
ATF1,SETD7,0.0704935441871869
ATF1,SH3D19,0.2798276888957044
ATF1,SIRT1,0.1282851816134884
ATF1,SLC46A1,0.0576072494724605
ATF1,SMIM20,0.8177736829168926
ATF1,SNTA1,0.8847553088385353
ATF1,SORBS3,0.7691820183778094
ATF1,SOS1,0.8984497885057663
ATF1,TBKBP1,0.2909541375495291
ATF1,TBPL1,0.0328381644730259
ATF1,TFB1M,0.1028324452217895
ATF1,TIFA,0.0830750352603796
ATF1,TMEM80,1.1157282777835589
ATF1,TMEM8A,0.1400065839402274
ATF1,TRDMT1,0.1970016055081244
ATF1,TSEN34,0.0642469902421504
ATF1,TTBK2,0.440036183090565
ATF1,UBQLN1,0.0211734346353483
