source_TF,n_target_genes,n_edges,log2FC_mean,log2FC_std,log2FC_min,log2FC_max,adj_pval_min,adj_pval_mean,adj_pval_median,culture_condition
BHLHE40,319,319,-0.1646224096004296,0.948539932403427,-3.6937498208709134,3.2451178087004604,3.0965526361355414e-11,0.0146851056723444,0.0095191855879285,Rest
BHLHE40,1209,1209,-0.082189980693314,0.8578369469005285,-4.536451144925568,3.805141503095377,2.005277687658392e-30,0.0141047873837942,0.0081909872351947,Stim48hr
BHLHE40,1466,1466,-0.2333414552417015,0.7072026321612587,-4.559944950283623,2.959707994168213,1.1370700101420092e-32,0.0140187571514165,0.0075268735029431,Stim8hr
BPTF,225,225,0.120934757108161,0.7926378271423183,-2.8450471174968803,2.065055259101398,3.798620437116024e-20,0.0269362753551936,0.0316878796264034,Rest
BPTF,207,207,0.2362506618943616,0.7157286109289741,-1.5896096282446115,5.070005694732442,4.69072704605915e-06,0.020575009153026,0.0191042740783089,Stim48hr
BPTF,319,319,-0.205952970829629,0.607324979450921,-2.8892031429103664,1.9330496536964896,3.6270894547406274e-11,0.0206117264472639,0.0188463743685454,Stim8hr
BRF2,1,1,-0.3420612410577342,,-0.3420612410577342,-0.3420612410577342,0.0193186527313284,0.0193186527313284,0.0193186527313284,Stim8hr
CAMTA1,2,2,2.187590441041256,0.8317115638918544,1.5994815542220573,2.7756993278604547,0.0038259480628611,0.0250080168976941,0.0250080168976941,Rest
CAMTA1,1,1,2.855862066731905,,2.855862066731905,2.855862066731905,0.0003399990508684,0.0003399990508684,0.0003399990508684,Stim48hr
CAMTA1,2,2,3.872191571326359,1.8762856461205104,2.5454572675115625,5.198925875141154,0.0002835053035006,0.0158733043054988,0.0158733043054988,Stim8hr
CAMTA2,22,22,-0.1061790469251832,0.9457613473515644,-2.566212436842115,0.7190422707695436,1.3777797330443232e-08,0.0221849147692197,0.022580734029396,Stim48hr
CC2D1A,1,1,-0.9323211514583244,,-0.9323211514583244,-0.9323211514583244,0.031925142392775,0.031925142392775,0.031925142392775,Rest
CC2D1A,1,1,0.5019173466368352,,0.5019173466368352,0.5019173466368352,0.0392835079813952,0.0392835079813952,0.0392835079813952,Stim8hr
CEBPB,6,6,-0.4096672758292819,1.5907996834691314,-1.5710807373587798,2.6568978514041977,1.1926580299316865e-17,0.0008391219049229,1.4194871111121323e-05,Rest
CEBPB,12,12,-0.517954680984124,0.694270202036953,-1.514055897014316,0.9097284724852412,1.9267863203595973e-61,0.0174801692717427,0.0032393537586084,Stim48hr
CEBPB,2,2,-1.4266391252174455,0.2797865701595896,-1.624478106262217,-1.228800144172674,5.29756813071631e-10,6.3879142872307755e-09,6.3879142872307755e-09,Stim8hr
CENPB,3,3,2.936131702926914,1.5857664756350762,1.1051254487334758,3.866378916176304,0.0074474640567308,0.0187960049241227,0.0081781775080104,Stim48hr
CENPB,2,2,1.3204784297805037,1.2698903023219026,0.4225303856456514,2.218426473915356,0.0266908408133492,0.0266908408133492,0.0266908408133492,Stim8hr
CENPS,1,1,-0.4694266697315763,,-0.4694266697315763,-0.4694266697315763,0.0101546670411434,0.0101546670411434,0.0101546670411434,Stim48hr
CGGBP1,17,17,0.8447153956272776,1.2645000888782831,-2.098568654662801,2.9672301624178097,1.1551809634499717e-06,0.0252691206036734,0.0204272489460496,Rest
CGGBP1,20,20,-0.8017448808203202,1.4693712520278994,-4.078641439779113,0.9060894022694378,5.2623752559351035e-09,0.029515004946274,0.0384266168338676,Stim8hr
CHAMP1,3,3,-0.1822251349045576,0.7106990765669725,-1.0013608751654284,0.2704200692149256,4.744566142898078e-21,0.013577721346678,0.0109978198001043,Rest
CHAMP1,6,6,-0.1417316017446212,0.7710092800635694,-0.8521216189882277,1.1525012729429809,1.1186482241625332e-12,0.0138704044240948,0.013389209212061,Stim48hr
CHAMP1,2,2,-0.365309532428084,0.7605786189187415,-0.903119831491025,0.172500766634857,7.914429713306158e-11,0.0018838611769715,0.0018838611769715,Stim8hr
CIC,3,3,0.3583598089680302,1.7269858682454486,-0.8349343826506124,2.3386675995672244,0.0010356263773598,0.0046092325590093,0.0016487626063687,Rest
CIC,2,2,-0.5210414656414937,0.0121349479366255,-0.5296221696168274,-0.5124607616661601,3.4129653067272886e-05,0.0001457744697391,0.0001457744697391,Stim48hr
CIC,2,2,-0.6612415275633076,0.267648517381324,-0.8504976091781673,-0.4719854459484478,5.3148550701526485e-09,7.324887679616626e-07,7.324887679616626e-07,Stim8hr
CLOCK,1,1,-2.338919183668484,,-2.338919183668484,-2.338919183668484,2.760997498728776e-13,2.760997498728776e-13,2.760997498728776e-13,Rest
CLOCK,4,4,1.6885310318687656,1.4340791188678808,0.3022594710609559,3.2916216583390967,1.706466535322285e-05,0.0025924360561568,2.234958958998688e-05,Stim48hr
CLOCK,4,4,0.7622478355994267,0.3164726370580328,0.5005464917024899,1.1814991388936456,1.441183218267974e-07,0.0080922641706896,0.0092343294463493,Stim8hr
CREB1,147,147,-0.2111814716881066,0.681916208427911,-2.3503275294995247,2.9037789958372167,4.519289054690268e-12,0.0145329089954899,0.0101110677950655,Rest
CREB1,303,303,-0.035198311358469,0.6277433036186952,-2.586481878488477,2.666780357648064,1.266187171623977e-13,0.0170668373269319,0.0125629683874691,Stim48hr
CREB1,290,290,-0.0920384725116637,0.6677433583742592,-2.4027441607438176,2.429935208122476,9.210676007573076e-24,0.0162280165090852,0.0107266180492078,Stim8hr
CREBL2,1,1,-0.4621742847602658,,-0.4621742847602658,-0.4621742847602658,2.709027111603433e-05,2.709027111603433e-05,2.709027111603433e-05,Rest
CREBL2,5,5,0.4357981382109065,0.5777530101617219,-0.5122911921626798,0.980600255641816,1.6300181577149953e-05,0.0099175620910107,0.0046439490114434,Stim48hr
