source_TF,target_gene,log2FC,adj_p_value,p_value,zscore,culture_condition,n_guides_averaged
AHR,ERCC1,0.3043273678972786,0.0083413690638105,0.0008106521800859,3.349131817278561,Rest,1
AHR,CALCOCO1,-0.4519144752322585,0.0112525097320558,0.001207242415365,-3.237163455473252,Rest,1
AHR,CLK1,-0.1700792619995169,0.0412011448645885,0.0076189938637444,-2.6685037030755105,Rest,1
AHR,CCDC88C,-0.1857089307360845,0.0011042066341032,5.246814798657059e-05,-4.044351517435266,Rest,1
AHR,ZMYND11,-0.295729116802165,0.000500704091378,1.8546330575784152e-05,-4.281709133597694,Rest,1
AHR,BID,-0.4654688757407035,0.0011145762790283,5.30835367699838e-05,-4.041618532999159,Rest,1
AHR,AGPS,0.1313599952719795,0.0156572616546062,0.0018894411435685,3.1070817911921416,Rest,1
AHR,STEEP1,0.1838116891833757,0.0386409271837963,0.0069937512020059,2.697141657288672,Rest,1
AHR,PLEKHB1,-1.428614304278248,0.000998222127968,4.575145848885602e-05,-4.076333142431403,Rest,1
AHR,RTF2,0.1722500573115739,0.0053747208719681,0.0004439134346597,3.512499143858003,Rest,1
AHR,NDUFS1,0.191123763721652,0.0059449093106405,0.000506020715806,3.4775489131208417,Rest,1
AHR,STRAP,0.2443905408539865,0.0004677347402269,1.7187544904651623e-05,4.29860631950077,Rest,1
AHR,PLEKHO1,-0.4008377380495573,0.0175480048743139,0.0022125816640702,-3.0601066780623785,Rest,1
AHR,UBR2,-0.1809384499246815,0.0369282931039317,0.0064634093020843,-2.723296133613286,Rest,1
AHR,TOMM34,0.3342718987118387,0.0068108799709296,0.0006158853394717,3.424520516650281,Rest,1
AHR,AGPAT4,-0.5816037736028229,0.0401542918567594,0.0073390221951274,-2.681056051589299,Rest,1
AHR,SLAMF7,-1.0882013864802749,0.0084315953661548,0.0008225754341875,-3.34508437143442,Rest,1
AHR,SH2D2A,0.3201244066779062,0.0223338904944383,0.0031314658919804,2.954529129922649,Rest,1
AHR,VEZT,0.2781990135137169,0.0065478310309086,0.00057979904294,3.440892403741748,Rest,1
AHR,BMAL2,0.4444996221647989,0.0033092401051268,0.000225341576703,3.688769133061399,Rest,1
AHR,TFB1M,0.2854621953070815,0.0116699809739153,0.0012738628562865,3.221803908057081,Rest,1
AHR,IFT88,-0.3801404007645219,0.0209376169517282,0.0028534382095845,-2.9831009932621373,Rest,1
AHR,GAB2,-0.4308985638340948,0.0263881907918277,0.0039961164429865,-2.878468139040402,Rest,1
AHR,SLC4A7,-0.5025161753435394,0.0002854817305922,9.052315655297193e-06,-4.438654110591637,Rest,1
AHR,MAP2K3,0.2478249581822053,0.0048220061913753,0.000377064556729,3.5556368879508256,Rest,1
AHR,PEX3,0.3576645917251973,0.0012498290760454,6.219334659584278e-05,4.004330569726139,Rest,1
AHR,SH3YL1,-0.8166574910405231,0.000896544382654,3.9665652698095855e-05,-4.109418583409801,Rest,1
AHR,FAM136A,0.2463956653325996,0.037273991771929,0.0065789937773482,2.717435698086512,Rest,1
AHR,VCL,-0.3625338430902757,0.005230528986094,0.0004266225120076,-3.5230427676471194,Rest,1
AHR,TUBG2,-0.9176821925178406,0.0431699433598736,0.0081591801448665,-2.645410776267968,Rest,1
AHR,NSUN2,0.2162083584539312,0.0188066601719939,0.0024609968740641,3.028096253154738,Rest,1
AHR,MRI1,-0.2220433084259959,0.0454258783168289,0.0088123909483774,-2.619247791659054,Rest,1
AHR,PI4K2B,0.2979011889409622,0.0008698696207617,3.808649641844489e-05,4.118791254535009,Rest,1
AHR,INPP4A,-0.5843040194027699,2.923675956656541e-22,2.7347076575217853e-25,-10.390654236302767,Rest,1
