source_TF,target_gene,log2FC,adj_p_value,p_value,zscore,culture_condition,n_guides_averaged
ZNF837,MTIF2,-0.3338665570660954,0.0039122323895643,4.5514491920186414e-05,-4.0775410710435205,Stim48hr,1
ZNF837,BAX,0.5546025734917596,3.8226577099209364e-07,1.1806829125669523e-10,6.441795510472793,Stim48hr,1
ZNF837,ADD1,0.3246078998201402,0.0001824227888695,6.19782974641686e-07,4.984948567306635,Stim48hr,1
ZNF837,KHSRP,-0.1913916047318926,0.0336636812044778,0.0012719624217073,-3.222231672718484,Stim48hr,1
ZNF837,EDEM2,-0.2870540265705054,0.0472426777887258,0.0022665590290894,-3.052880864691812,Stim48hr,1
ZNF837,SIRPG,0.7232484047859316,0.0397847080968291,0.0017074600048229,3.1368971702508865,Stim48hr,1
ZNF837,ANAPC5,-0.1954946567908792,0.0386920390713006,0.0016332478141905,-3.149902817614506,Stim48hr,1
ZNF837,KIF16B,0.4817647868673871,0.0380308483892743,0.0015894990352013,3.157826912981848,Stim48hr,1
ZNF837,ERP29,-0.6470130448110005,0.0133542661583142,0.0002818515970816,-3.631433217375847,Stim48hr,1
ZNF837,RGS1,1.0380229495411974,0.0494965826352878,0.0024817086114882,3.0255628007775632,Stim48hr,1
ZNF837,YPEL3,0.5851788825136319,0.0077363136622508,0.0001366254944019,3.814198730090722,Stim48hr,1
ZNF837,NUDC,-0.2981214627385426,0.0037903041520657,4.175461178534243e-05,-4.097549932592356,Stim48hr,1
ZNF837,RBM27,-0.2218088383225025,0.0447825748956555,0.0020978144319492,-3.076023311409088,Stim48hr,1
ZNF837,TXNL1,-0.2443712719590773,0.0282807996021155,0.000949743900706,-3.305005931239924,Stim48hr,1
ZNF837,HNRNPC,-0.2193467318467744,6.570479721501172e-05,1.691156110753931e-07,-5.230430649698655,Stim48hr,1
ZNF837,PHGDH,-0.8865833494884353,8.045937510291169e-06,6.626943280379836e-09,-5.800115059652682,Stim48hr,1
ZNF837,HSP90AB1,-0.4014022843870241,1.1898030472729065e-05,1.714943134131647e-08,-5.638543688688809,Stim48hr,1
ZNF837,CYTH4,0.4773929183662821,0.0069808548415762,0.0001128378678191,3.861186199322513,Stim48hr,1
